frame,migrations
0,0
1,0
2,0
3,0
4,0
5,2
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,1
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,1
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,1
156,1
157,0
158,1
159,0
160,1
161,3
162,1
163,0
164,0
165,1
166,1
167,0
168,2
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,1
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,1
190,0
191,0
192,0
193,0
194,2
195,0
196,1
197,1
198,1
199,0
200,3
201,0
202,0
203,1
204,0
205,2
206,0
207,1
208,0
209,0
210,0
211,2
212,1
213,1
214,1
215,2
216,0
217,2
218,0
219,2
220,1
221,0
222,1
223,0
224,0
225,1
226,1
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,2
237,3
238,0
239,0
240,1
241,0
242,2
243,1
244,0
245,1
246,0
247,1
248,2
249,0
250,2
251,1
252,2
253,2
254,2
255,1
256,0
257,0
258,1
259,2
260,0
261,1
262,0
263,1
264,0
265,1
266,1
267,0
268,2
269,1
270,0
271,1
272,0
273,1
274,2
275,3
276,0
277,0
278,1
279,2
280,3
281,2
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,1
290,1
291,0
292,0
293,1
294,1
295,3
296,1
297,2
298,1
299,0
